Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
211,The Good Dinosaur,332207671,123087120,209120551,2015.csv,2015.0,0.3705125761530052,0.6294874238469947
212,Free Guy,331526598,121626598,209900000,2021.csv,2021.0,0.36686829573776764,0.6331317042622324
213,22 Jump Street,331333876,191719337,139614539,2014.csv,2014.0,0.5786288420445123,0.4213711579554878
214,John Wick: Chapter 3 - Parabellum,327777335,171015687,156761648,2019.csv,2019.0,0.5217434786941568,0.4782565213058432
215,Crazy Alien,327598891,0,327598891,2019.csv,2019.0,0.0,1.0
216,Taken 3,326479141,89256424,237222717,2015.csv,2015.0,0.27339089329446625,0.7266091067055338
217,The SpongeBob Movie: Sponge Out of Water,325186032,162994032,162192000,2015.csv,2015.0,0.5012331894993571,0.4987668105006429
218,Green Book,321752656,85080171,236672485,2018.csv,2018.0,0.26442725308847176,0.7355727469115282
219,The Conjuring 2,321370008,102470008,218900000,2016.csv,2016.0,0.31885367473370446,0.6811463252662956
220,Sonic the Hedgehog,319715683,148974665,170741018,2020.csv,2020.0,0.46595982906475064,0.5340401709352494
221,Knives Out,312897920,165363234,147534686,2019.csv,2019.0,0.5284893999934548,0.47151060000654527
222,Maze Runner: The Scorch Trials,312296056,81697192,230598864,2015.csv,2015.0,0.2616017411375826,0.7383982588624174
223,Resident Evil: The Final Chapter,312242626,26830068,285412558,2016.csv,2016.0,0.085926986791355,0.914073013208645
224,The Lego Batman Movie,312150384,175750384,136400000,2017.csv,2017.0,0.563031131814978,0.436968868185022
225,The Ex-File 3: Return of the Exes,307592427,838959,306753468,2017.csv,2017.0,0.002727502130603495,0.9972724978693965
226,The Fault in Our Stars,307166834,124872350,182294484,2014.csv,2014.0,0.40652940414784494,0.593470595852155
227,Annabelle: Creation,306592201,102092201,204500000,2017.csv,2017.0,0.3329902087104949,0.6670097912895051
228,Wonder,305937718,132422809,173514909,2017.csv,2017.0,0.43284237676114196,0.5671576232388581
229,Skyscraper,304868961,68420120,236448841,2018.csv,2018.0,0.22442468323300382,0.7755753167669962
230,Dangal,303723636,12391761,291331875,2016.csv,2016.0,0.04079946217949267,0.9592005378205073
231,Passengers,303144152,100014699,203129453,2016.csv,2016.0,0.3299245535173642,0.6700754464826357
232,Alice Through the Looking Glass,299457024,77041381,222415643,2016.csv,2016.0,0.257270241889534,0.7427297581104659
233,Ocean's Eight,297718711,140218711,157500000,2018.csv,2018.0,0.47097715333048046,0.5290228466695195
234,A Quiet Place Part II,297372261,160072261,137300000,2021.csv,2021.0,0.5382891479578857,0.4617108520421143
235,The Divergent Series: Insurgent,297002527,130179072,166823455,2015.csv,2015.0,0.4383096444159211,0.5616903555840789
236,Miss Peregrine's Home for Peculiar Children,296482446,87242834,209239612,2016.csv,2016.0,0.29425969455203427,0.7057403054479657
237,Ferdinand,296069199,84410380,211658819,2017.csv,2017.0,0.28510355107894897,0.7148964489210511
